Şehir1 Şehir2 Mesafe
Ankara Eskişehir 233
Ankara Bolu 191
Ankara Çankırı 131
Ankara Kırıkkale 75
Ankara Kırşehir 184
Ankara Aksaray 225
Ankara Konya 258
Eskişehir Afyon 144
Eskişehir Kütahya 78
Eskişehir Bilecik 82
Çankırı Kastamonu 112
Çankırı Karabük 193
Çankırı Bolu 233
Çankırı Çorum 156
Çankırı Kırıkkale 105
Kırşehir Yozgat 245
Kırşehir Nevşehir 305
Kırşehir Aksaray 310
Nevşehir Kayseri 81
Nevşehir Niğde 82
Nevşehir Yozgat 190
Nevşehir Aksaray 75
Konya Afyon 223
Konya Isparta 263
Konya Antalya 322
Konya Karaman 119
Konya Mersin 348
Konya Niğde 242
Konya Aksaray 148
