Abide anýt 
Acayip garip
Acýma merhamet
Açýkgöz kurnaz
Ad isim
Adale kas
Adet tane
Adýl zamir
Adi bayaðý
Aferin bravo
Affetmek baðýþlamak
Ahenk uyum
Akýl us
Aksi ters
Al kýrmýzý
Alaka ilgi
Alaz alev
Alelade sýradan
Allah Tanrý
Ama fakat
Ama kör
Amaç erek
Amade hazýr
Amale iþçi
Amel iþ
Ana anne
Aný hatýra
Anýt abide
Aniden birden
Aniden ansýzýn
Anlam mana
Anlatým ifade
Ant yemin
Apse iltihap
Araç vasýta
Arýza bozukluk
Arka geri
Armaðan hediye
Art arka
Arzu istek
Asýr yüzyýl
Asil soylu
Aþ yemek
Aþýrmak çalmak
Ata cet
Atak giriþken
Atamak etmek
Atamak tayin
Atölye iþlik
Avare aylak
Avare serseri
Avare aylak
Ayakyolu hela
Ayakyolu WC
Aylak serseri
Ayraç parantez
Ayrýcalýk imtiyaz
Aza üye
Acemi toy
Adalet hak
Aka büyük
Aleni açýk
Ara fasýla
Ayakkabý pabuç
Baðýþlamak affetmek
Baðnaz yobaz
Bakýþ nazar
Barýþ sulh
Basýmevi matbaa
Basit yalýn
Baþkaldýrý isyan
Baþkan reis
Baþkent baþþehir
Baþvuru müracaat
Batý garp
Bayaðý adi
Bayýndýr mamur
Bayýndýrlýk imar
Baytar veteriner
Bazen kimi
Bedava parasýz
Beden gövde
Beðeni zevk
Belde þehir
Belge vesika
Bellek hafýza
Bencil egoist
Benlik kiþilik
Beraber birlikte
Bereket bolluk
Berrak duru
Besin gýda
Beyanat demeç
Beyaz ak
Beygir at
Beyhude boþuna
Biçare zavallý
Biçim þekil
Bilakis tersine
Bilgin alim
Bilgisiz cahil
Bilhassa özellikle
Bilim ilim
Bilgisiz cahil
Bilinç þuur
Bina yapý
Birden ani
Birdenbire aniden
Birey fert
Biricik tek
Bitki nebat
Boylam meridyen
Bozkýr step
Bucak nahiye
Buðu buhar
Buhran bunalým
Buyruk emir
Büro ofis (yazýhane)
Büro yazýhane
Bacý kýz kardeþ
Baþ kafa
Cahil bilgisiz
Caka gösteriþ
Camekan vitrin
Canlý diri
Cazibe çekim
Cehalet bilgisizlik
Celse oturum
Cenk savaþ
Cenup güney
Cerahat irin
Cerrah operatör
Cesur yürekli
Cet ata
Cevap yanýt
Ceviz koz
Cýlýz sýska
Ciddi aðýrbaþlý
Cihaz aygýt
Cihet yön
Cilt ten
Cimri pinti
Cimri hasis
Cin tür
Civar yöre
Cömert eli açýk
Cümle tümce
Cýlýz sýska
Ciddi aðýrbaþlý
Cihaz aygýt
Cihet yön
Cilt ten
Cimri pinti
Cimri hasis
Cins tür
Civar yöre
Cömert eli açýk
Cümle tümce
Çabuk acele
Çað devir
Çaðdaþ uygar
Çaðdaþ modern
Çaðrý davet
Çayýr davet
Çehre yüz
Çeþit tür
Çeviri tercüme
Çýðlýk feryat
Çýlgýn deli
Çizelge cetvel
Çoðunluk ekseriyet
Çok fazla
Çamur balçýk
Çare deva
Dahil iç
Daimi sürekli
Darbe vuruþ
Dargýn küs
Darýlmak küsmek
Davet çaðrý
Defa kez
Deðer kýymet
Deðerli kýymetli
Deðnek sopa
Deli çýlgýn
Delil kanýt
Deneme tecrübe
Denetim kontrol
Deney tecrübe
Deprem zerzele
Dergi mecmua
Derhal hemen
Deri ten
Derslik sýnýf
Devamlý sürekli
Devinim hareket
Devir çað
Devir tur
Devre dönem
Dýþalým ithalat
Dýþsatým ihracat
Diðer baþka
Dil lisan
Dilbilgisi gramer
Diri canlý
Dize mýsra
Doða tabiat
Doðal tabii
Doðu þark
Doktor hekim
Donuk mat
Doruk zirve
Dönemeç viraj
Döþek yatak
Duru berrak
Durum vaziyet
Duygu his
Düþ rüya
Düþünce fikir
Düzen seviye
Düzmece sahte
Düzyazý nesir
Dilek istek
Dizi sýra
Dost arkadaþ
Ebat boyut
Ebedi sonsuz
Ebeveyn baba
Ebeveyn Ana
Edat ilgeç
Efe zeybek
Egoist bencil
Ehemmiyet önem
Ek. Ýlave
Eklem mafsal
Ekonomi iktisat
Elbise giysi
Emir buyruk
Emniyet güvenlik
Ender nadir
Endiþe kaygý
Endüstri sanayi
Enkaz yýkýntý
Enlem paralel
Entari giysi
Enteresan ilginç
Erek amaç
Esas temel
Eser yapýt
Esir tutsak
Etki tesir
Etraf çevre
Evvel önce
Eylem fiil
Eylemsi fiilimsi
Ev konut
Edebiyat yazýn
Eda verme
Faaliyet etkinlik
Fakat lakin
Fakat ama
Fakir fukara
Fakir yoksul
Faktör unsur
Fare sýçan
Fark ayrým
Fasýla ara
Fayda yarar
Fazla çok
Fena kötü
Fert birey
Feza uzay
Fiil eylem
Fikir düþünce
File að
Füze roket
Felç nüzul
Fer ýþýk
Faiz nema
Garip acayip
Garp batý
Gaye amaç
Gayret çaba
Gebe hamile
Gelecek ati
Gelecek istikbal
Gelenek anane
Gene yine
Genel umumi
Geri art
Gýda besin
Giysi elbise
Giz sýr
Gizli saklý
Görev vazife
Gövde beden
Gramer dilbilgisi
Güç kuvvet zor
Güçlü kuvvetli
Güldürü komedi
Gülünç komik
Güney cenup
Güven itimat
Güz sonbahar
Gözlem rasat
Gökyüzü sema
Gezmek dolaþmak
Hal durum
Halbuki oysa
Ham olmamýþ
Hane ev
Hareket devinim
Hariç dýþ
Harp savaþ
Hasis pinti
Hasis cimri
Hasret özlem
Hassas duygulu
Hatýra aný
Hayal düþ
Hayat yaþam
Haysiyet onur
Hediye armaðan
Hekim doktor
Hela wc
Hela tuvalet
Hemen derhal
Hiddet öfke
Hikaye öykü
Hisse pay
Hudut sýnýr
Hususi özel
Hür özgür
Hýsým akraba
Hasým düþman
Hareket devinim
Hadise olay
Ilýca kaplýca
Irak uzak
Irgat rençber
Irk soy
Ira karakter
Irmak nehir
Ýcat buluþ
Ýç dahil
Ýçten samimi
Ýdare yönetim
Ýhracat dýþsatým
Ýhtiyar yaþlý
Ýhtiyaç gereksinim
Ýkaz uyarý
Ýktisat ekonomi
Ýlave ek
Ýlgeç edat
Ýlgi alaka
Ýlginç enteresan
Ýlim bilim
Ýmar bayýndýr
Ýmkan olanak
Ýsim ad
Ýskemle sandalye
Ýthalat dýþalým
Ýtibar saygýnlýk
Ýtimat güven
Ýtina özen
Ýzah açýklama
Ýdadi lise
Ýlan duyuru
Ýliþki münasebet
Ýliþki temas
Ýmtihan sýnav
Jeoloji yer
Jeoloji bilimi
Kabiliyet yetenek
Kabus karabasan
Kafa baþ
Kafi yeter
Kafiye uyak
Kalite nitelik
Kalp yürek
Kamu halk
Kanýt delil
Kapital sermaye
Kapital anamal
Kanun yasa
Kara siyah
Karþýn raðmen
Karþýt zýt
Kas adale
Katý sert
Kati kesin
Kayýp yitik
Keder acý
Kelime sözcük
Kenar kýyý
Kent þehir
Kere kez
Kere defa
Kesin kati
Kýrmýzý al
Kýyý sahil
Kir pislik
Kirli pis
Kiþi þahýs
Kocaman iri
Komedi güldürü
Komik gülünç
Kontrol denetim
Konuk misafir
Konut ev
Koþul þart
Kural kaide
Kuruluþ müessese
Kuruluþ kurum
Kuþku þüphe
Kutsal mukaddes
Kuvvet güç
Kuzey þimal
Küme grup
Küs dargýn
Kýlavuz rehber
Kolay basit
Laf söz
Lahza an
Lider önder
Lisan dil
Lüzumlu gerekli
Lüzumsuz gereksiz
Lal dilsiz
Lama deve
Lafazan geveze
Mabet tapýnak
Macera serüven
Mafsal eklem
Maðlup yenik
Mahalli yerel
Mahcup utangaç
Mahluk yaratýk
Mahpushane hapishane
Mahsul ürün
Mana anlam
Manzara görünüm
Matbaa basýmevi
Matem yas
Mebus milletvekili
Mecbur zorunlu
Mecmua dergi
Medeni uygar
Medeniyet uygarlýk
Mektep okul
Melodi ezgi
Menfaat çýkar
Menfi olumsuz
Menkul taþýnýr
Meridyen boylam
Mesafe ara
Mesela örneðin
Mesele sorun
Mesken konuk
Meslek iþ
Mesul sorumlu
Mesut mutlu
Meþhur ünlü
Meþrubat içecek
Mevcut var
Meydan alan
Millet ulus
Milletvekili mebus
Milli ulusal
Misafir konuk
Misal örnek
Misli katý
Muavin yardýmcý
Muharebe savaþ
Muhtelif çeþitli
Muþtu müjde
Müessese kurum
Müessese kuruluþ
Mühim önemli
Mükafat ödül
Müsabaka yarýþma
Müsait uygun
Müspet olumlu
Müstahsil üretici
Müstakil baðýmsýz
Müþteri alýcý
Merkep eþek
Mani engel
Mübarek kutsal
Muallim öðretmen
Mektup name
Merasim tören
Nadir ender
Nakil atama
Nakil taþýma
Nasihat öðüt
Nebat bitki
Neden sebep
Nefes soluk
Nehir ýrmak
Nem rutubet
Nesil kuþak
Nesir düzyazý
Neþe sevinç
Netice sonuç
Nispet oran
Nitelik kalite
Noksan eksik
Numune örnek
Nutuk söylev
Nakit para akça
Nakliyeci taþýmacý
Namzet aday
Okul mektep
Olanak imkan
Olasý mümkün
Olay vaka
Olumlu müspet
Olumsuz menfi
Onarým tamir
Onay tasdik
Onur þeref
Oran nispet
Otlak mera
Oy rey
Ozan þair
Öbek grup
Öbür diðer
Ödenti aidat
Ödlek korkak
Ödül mükafat
Ödün taviz
Öfke hiddet
Öðe unsur
Öðrenci talebe
Öðrenim tahsil
Öðüt nasihat
Ömür hayat yaþam
Önce evvel
Önder lider
Önemli mühim
Öneri teklif
Önlem tedbir
Örgüt teþkilat
Örneðin mesele
Örnek misal
Öteki diðeri
Ötürü dolayý
Öykü hikaye
Özel hususi
Özen itina
Özgün orijinal
Özgür hür
Özlem hasret
Pabuç ayakkabý
Pasif edilgen
Pinti cimri
Pis kirli
Politika siyaset
Raðmen karþýn
Rastlantý tesadüf
Rey oy
Rutubet nem
Rüya düþ
Rüzgar yel
Problem sorun
Rüþtiye ortaokul
Sade yalýn
Saðlýk sýhhat
Saha alan
Sahil kýyý yalý
Saldýrý hücum
Samimi içten
Sanayi endüstri
Sandalye iskemle
Savaþ harp
Saz çalgý
Sebep neden
Sene yýl
Sermaye kapital
Serüven macera
Sýçan fare
Sýhhat saðlýk
Sýr giz
Sima yüz
Siyah kara
Siyaset politika
Son nihayet
Sonuç netice
Sorun mesele
Soylu asil
Sömestri yarýyýl
Söylev nutuk
Sözcük kelime
Sulh barýþ
Suni yapay
Surat yüz
Sürat hýz
Sürekli devamlý
Sevinç mutluluk
Sýnýf derslik
Sonbahar güz
Sorumluluk mesuliyet
Sözlük lügat
Sýnav imtihan
Þafak tan
Þahýs kiþi
Þahit tanýk
Þair ozan
Þans talih
Þark doðu
Þart koþul
Þayet eðer
Þef lider
Þef önder
Þehir kent
Þekil biçim
Þen neþeli
Þeref onur
Þöhret ün
Þuur bilinç
Þüphe kuþku
Þaka latife
Tabiat doða
Tabii doðal
Tabip hekim
Tabip doktor
Talebe öðrenci
Talih þans
Tamir onarým
Tane adet
Tanýk þahit
Taným tarif
Tapýnak mabet
Taraf yan
Tarým ziraat
Tarif taným
Tasdik onay
Tebrik kutlama
Tecrübe deney
Tedbir önlem
Teklif öneri
Tekrar yine
Temel esas
Tercüme çeviri
Tertip düzen
Tesadüf rastlantý
Tesir etki
Toplum cemiyet
Tören merasim
Tuhaf garip
Tutsak esir
Tuvalet hela
Tuvalet wc
Tüm bütün
Tümör ur
Tümce cümle
Tren þimendifer
Tren katar
Tartýþma münakaþa
Uçurum yar
Ufak küçük
Uðraþ iþ
Ulu yüce
Ulus millet
Umumi genel
Umut ümit
Unsur öðe
Us akýl
Uyarý ikaz
Uygar medeni
Uyum ahenk
Uzak ýrak
Uzay feza
Uçak tayyare
Usta ehil
Ümit umut
Ünlü meþhur
Ürün mahsul
Üye aza
Ülke memleket
Ülke diyar
Ülkü ideal
Üleþ pay
Ürem faiz
Vaka olay
Vakit zaman
Varlýklý zengin
Vasýta araç
Vatan yurt
Vazife görev
Vaziyet durum
Vesika belge
Viraj dönemeç
Vücut gövde
Vilayet il
Veteriner baytar
Yalýn sade
Yan taraf
Yanýt cevap
Yapay suni
Yapýt eser
Yar uçurum
Yaratýk mahluk
Yardýmcý muavin
Yargýç hakim
Yarýyýl sömestri
Yas matem
Yasa kanun
Yaþ ýslak
Yaþam hayat
Yaþam ömür
Yaþlý ihtiyar
Yazý ova
Yazým imla
Yekün toplam
Yel rüzgar
Yerel mahalli
Yetenek kabiliyet
Yýl sene
Yine tekrar
Yitik kayýp
Yoksul fakir
Yoksul fukara
Yöntem metot
Yurt vatan
Yüce ulu
Yürek kalp
Yüz surat
Yüz sima
Yüz çehre
Yüzyýl asýr
Yemek aþ
Zaman vakit
Zarar ziyan
Zengin varlýklý
Zeybek efe
Zýt karþýt
Ziraat tarým
Ziyan zarar
Zor güç
Zorunlu mecburi
Zýrnýk metelik
Zehir agu
Zabit subay
